Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Preparing frames for constructing fringe PCs, using images in base_images.dat
Elapsed time for initialising was 0.407357931137 seconds
Median residual, sigma, fmask, fsat, background ( Skymapper_0805318930_2014-05-21T22:54:34_17_red ): -1.85766601562 40.7884990525 0.218028187752 0.00176048278809 1806.93981934
Median residual, sigma, fmask, fsat, background ( Skymapper_0805319467_2014-05-22T01:08:12_17_red ): -1.9755859375 41.3155377702 0.203520774841 0.00176620483398 1898.30834961
Median residual, sigma, fmask, fsat, background ( Skymapper_0805319980_2014-05-22T01:13:32_17_red ): -2.169921875 42.6213805518 0.203122854233 0.0017786026001 1942.32324219
Median residual, sigma, fmask, fsat, background ( Skymapper_0805320467_2014-05-21T22:59:55_17_red ): -1.99096679688 40.4300149912 0.21461558342 0.00172674655914 1806.87719727
Median residual, sigma, fmask, fsat, background ( Skymapper_0805320980_2014-05-21T23:05:15_17_red ): -1.81750488281 41.8332763182 0.21656692028 0.00177979469299 1923.12390137
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321467_2014-05-21T20:55:47_17_red ): -1.92150878906 40.2707643747 0.223652839661 0.00175321102142 1772.3951416
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321493_2014-05-21T23:10:36_17_red ): -1.3095703125 40.691705732 0.234872102737 0.00175416469574 1789.08276367
Median residual, sigma, fmask, fsat, background ( Skymapper_0805321980_2014-05-21T20:56:37_17_red ): -2.09265136719 41.2042097447 0.22317302227 0.00176823139191 1838.6418457
Median residual, sigma, fmask, fsat, background ( Skymapper_0805322006_2014-05-21T23:15:56_17_red ): -1.67822265625 42.8645510485 0.249625205994 0.00194847583771 1934.62060547
Median residual, sigma, fmask, fsat, background ( Skymapper_0805322493_2014-05-21T21:02:26_17_red ): -2.35302734375 42.8616082183 0.223744034767 0.00168180465698 1966.0222168
Median residual, sigma, fmask, fsat, background ( Skymapper_0805322519_2014-05-21T23:21:16_17_red ): -2.0888671875 42.0051344655 0.229089736938 0.00209391117096 1918.31262207
Median residual, sigma, fmask, fsat, background ( Skymapper_0271617544_2014-05-31T23:27:39_17_red ): 0.042724609375 22.3017320251 0.0391806364059 0.00151205062866 601.358703613
Median residual, sigma, fmask, fsat, background ( Skymapper_0302026267_2014-06-01T00:13:38_17_red ): -0.188140869141 20.0575356246 0.077207326889 0.00151038169861 497.221130371
Median residual, sigma, fmask, fsat, background ( Skymapper_0325881363_2014-05-31T23:59:21_17_red ): -0.207641601562 20.8949006332 0.0883839130402 0.00149846076965 548.986083984
Median residual, sigma, fmask, fsat, background ( Skymapper_0271519328_2014-06-17T21:05:03_17_red ): 0.138305664062 20.9031149925 0.0384454727173 0.00151765346527 535.42956543
Median residual, sigma, fmask, fsat, background ( Skymapper_0271814382_2014-06-18T00:23:46_17_red ): 0.17626953125 22.9668202408 0.0609791278839 0.00156271457672 634.962036133
Median residual, sigma, fmask, fsat, background ( Skymapper_0330338040_2014-06-18T00:43:55_17_red ): -0.313415527344 22.3313235322 0.170431017876 0.00207841396332 610.510131836
Median residual, sigma, fmask, fsat, background ( Skymapper_0405835456_2014-06-17T22:50:34_17_red ): 0.294067382812 24.085316254 0.0349551439285 0.00150334835052 697.241943359
Median residual, sigma, fmask, fsat, background ( Skymapper_0533761738_2014-06-17T23:10:38_17_red ): 0.18505859375 22.7784335431 0.0424683094025 0.00153708457947 622.090087891
Median residual, sigma, fmask, fsat, background ( Skymapper_0271093253_2014-06-22T20:03:07_17_red ): 0.427978515625 26.3091687397 0.0233056545258 0.00149989128113 845.241821289
Median residual, sigma, fmask, fsat, background ( Skymapper_0271453713_2014-06-22T20:27:15_17_red ): 0.280151367188 23.9539535867 0.0334469079971 0.00152015686035 708.776977539
Median residual, sigma, fmask, fsat, background ( Skymapper_0271584813_2014-06-22T21:59:08_17_red ): 0.202270507812 25.2428057614 0.0419843196869 0.00150442123413 762.678710938
Median residual, sigma, fmask, fsat, background ( Skymapper_0302157388_2014-06-22T23:39:06_17_red ): -0.334838867188 23.727129362 0.120041012764 0.00150978565216 684.337280273
Median residual, sigma, fmask, fsat, background ( Skymapper_0306941495_2014-06-22T22:56:54_17_red ): -0.0108642578125 22.4147265879 0.10798728466 0.00152230262756 610.584655762
Median residual, sigma, fmask, fsat, background ( Skymapper_0321556054_2014-06-22T23:59:13_17_red ): -4.27709960938 26.5463437974 0.687838554382 0.00160562992096 735.352172852
Median residual, sigma, fmask, fsat, background ( Skymapper_0330501698_2014-06-22T23:18:57_17_red ): -1.32330322266 22.0757012591 0.326251745224 0.00160551071167 609.958496094
Median residual, sigma, fmask, fsat, background ( Skymapper_0378146400_2014-06-23T00:37:20_17_red ): -0.21484375 21.796216781 0.115762591362 0.00158953666687 588.647216797
Median residual, sigma, fmask, fsat, background ( Skymapper_0405736989_2014-06-22T21:10:56_17_red ): 0.197998046875 24.5018704535 0.035166144371 0.00151062011719 727.153381348
Median residual, sigma, fmask, fsat, background ( Skymapper_0330403348_2014-06-30T19:25:07_17_red ): -0.299011230469 17.295259748 0.112971663475 0.00178360939026 349.299591064
Median residual, sigma, fmask, fsat, background ( Skymapper_0334532104_2014-06-30T19:01:00_17_red ): -0.212036132812 24.6322134906 0.0871353149414 0.0018709897995 701.096923828
Median residual, sigma, fmask, fsat, background ( Skymapper_0273124884_2014-07-02T03:47:34_17_red ): 0.396118164062 24.4358106361 0.0346975326538 0.00150167942047 695.742004395
Median residual, sigma, fmask, fsat, background ( Skymapper_0273190430_2014-07-02T04:25:31_17_red ): 0.324401855469 24.0317561269 0.0445303916931 0.00164568424225 669.380432129
Median residual, sigma, fmask, fsat, background ( Skymapper_0273354281_2014-07-02T04:47:34_17_red ): 0.408508300781 22.9314295291 0.0334068536758 0.00154519081116 622.317077637
Median residual, sigma, fmask, fsat, background ( Skymapper_0273419827_2014-07-02T05:07:40_17_red ): 0.320861816406 22.3409358588 0.0352125167847 0.00162100791931 574.230041504
Median residual, sigma, fmask, fsat, background ( Skymapper_0272502310_2014-07-03T00:42:47_17_red ): -4.67633056641 25.1710878451 0.826426267624 0.0021185874939 651.29888916
Median residual, sigma, fmask, fsat, background ( Skymapper_0272633404_2014-07-03T01:27:15_17_red ): -1.69836425781 23.8321169337 0.389093875885 0.00175368785858 655.791442871
Median residual, sigma, fmask, fsat, background ( Skymapper_0272764490_2014-07-03T01:55:23_17_red ): -0.451293945312 22.9425781499 0.190730810165 0.00161612033844 611.723632812
Median residual, sigma, fmask, fsat, background ( Skymapper_0272830036_2014-07-03T02:15:26_17_red ): -0.162475585938 26.6185773579 0.122813344002 0.00157427787781 690.008544922
Median residual, sigma, fmask, fsat, background ( Skymapper_0272895582_2014-07-03T02:35:36_17_red ): -0.0516357421875 28.9139646424 0.0896233320236 0.00159311294556 757.361999512
Median residual, sigma, fmask, fsat, background ( Skymapper_0272961128_2014-07-03T02:55:41_17_red ): 0.221923828125 30.3720070445 0.0740919113159 0.00193083286285 882.189453125
Median residual, sigma, fmask, fsat, background ( Skymapper_0273157764_2014-07-03T03:52:21_17_red ): 0.380981445312 30.5913633603 0.0405440330505 0.00155639648438 1036.32849121
Median residual, sigma, fmask, fsat, background ( Skymapper_0273256080_2014-07-03T04:16:27_17_red ): 0.4375 30.7481323535 0.0418004989624 0.0015527009964 1079.70056152
Median residual, sigma, fmask, fsat, background ( Skymapper_0273321628_2014-07-03T04:40:33_17_red ): 0.653930664062 33.9122636218 0.0289769172668 0.00155580043793 1154.11669922
Median residual, sigma, fmask, fsat, background ( Skymapper_0277646898_2014-07-03T01:07:04_17_red ): -2.52514648438 22.8871661356 0.525751709938 0.00169610977173 600.680175781
Median residual, sigma, fmask, fsat, background ( Skymapper_0307039902_2014-07-02T23:01:12_17_red ): -0.148071289062 23.6133115399 0.143852353096 0.00156557559967 645.171691895
Median residual, sigma, fmask, fsat, background ( Skymapper_0307072583_2014-07-02T20:01:00_17_red ): -0.492797851562 22.6738593645 0.166917443275 0.00154626369476 613.193969727
Median residual, sigma, fmask, fsat, background ( Skymapper_0311889576_2014-07-02T23:21:16_17_red ): 0.0667724609375 23.9591336889 0.118501186371 0.00152742862701 661.527038574
Median residual, sigma, fmask, fsat, background ( Skymapper_0311922314_2014-07-02T22:20:40_17_red ): -0.59912109375 22.1373686511 0.232233524323 0.00159597396851 553.940795898
Median residual, sigma, fmask, fsat, background ( Skymapper_0316673544_2014-07-02T23:42:18_17_red ): -0.294372558594 24.4698707427 0.194993376732 0.00153827667236 700.526245117
Median residual, sigma, fmask, fsat, background ( Skymapper_0316706452_2014-07-02T22:40:45_17_red ): -0.3125 24.3214535745 0.197406888008 0.00158584117889 641.236083984
Median residual, sigma, fmask, fsat, background ( Skymapper_0321392146_2014-07-03T00:02:22_17_red ): 0.123626708984 24.8535640585 0.12551343441 0.00149357318878 723.267578125
Median residual, sigma, fmask, fsat, background ( Skymapper_0325946961_2014-07-02T20:22:15_17_red ): -0.460144042969 21.9604393151 0.159150481224 0.00152778625488 573.411010742
Median residual, sigma, fmask, fsat, background ( Skymapper_0325979742_2014-07-02T20:49:57_17_red ): -1.25299072266 24.288162596 0.267325997353 0.00159358978271 687.060546875
Median residual, sigma, fmask, fsat, background ( Skymapper_0330468922_2014-07-02T19:32:23_17_red ): -1.19958496094 22.0986535982 0.27273786068 0.00155556201935 582.336181641
Median residual, sigma, fmask, fsat, background ( Skymapper_0330632830_2014-07-02T21:55:44_17_red ): -3.17907714844 31.898471698 0.866352319717 0.00210309028625 624.414611816
Median residual, sigma, fmask, fsat, background ( Skymapper_0334925416_2014-07-02T21:10:01_17_red ): -2.0556640625 21.7972904941 0.434328913689 0.00169241428375 566.879882812
Median residual, sigma, fmask, fsat, background ( Skymapper_0334990964_2014-07-02T21:35:38_17_red ): -3.47058105469 22.727225788 0.614898681641 0.0017683506012 589.643859863
Median residual, sigma, fmask, fsat, background ( Skymapper_0394792492_2014-07-02T19:04:00_17_red ): -0.426818847656 26.4201313231 0.117661714554 0.00154936313629 838.545898438
Median residual, sigma, fmask, fsat, background ( Skymapper_0407244402_2014-07-03T03:15:47_17_red ): 0.249877929688 29.0214029749 0.0629059076309 0.00163412094116 973.482788086
Median residual, sigma, fmask, fsat, background ( Skymapper_0407637672_2014-07-03T05:04:37_17_red ): 0.6943359375 31.9141133459 0.0310069322586 0.0015732049942 1144.86315918
Median residual, sigma, fmask, fsat, background ( Skymapper_0272142031_2014-07-03T22:59:51_17_red ): -0.194213867188 28.7539363276 0.167364358902 0.00162625312805 878.08996582
Median residual, sigma, fmask, fsat, background ( Skymapper_0272240351_2014-07-03T23:32:10_17_red ): -1.32971191406 30.7687196581 0.302210688591 0.00190854072571 786.026977539
Median residual, sigma, fmask, fsat, background ( Skymapper_0272338667_2014-07-03T23:56:34_17_red ): -2.31213378906 27.4967092131 0.431064248085 0.00176215171814 845.167480469
Median residual, sigma, fmask, fsat, background ( Skymapper_0272436983_2014-07-04T00:21:01_17_red ): -4.82168579102 27.5194036763 0.639267802238 0.00173616409302 866.487304688
Median residual, sigma, fmask, fsat, background ( Skymapper_0272600847_2014-07-04T01:09:11_17_red ): -2.78161621094 27.8565557159 0.467180252075 0.00175321102142 744.649047852
Median residual, sigma, fmask, fsat, background ( Skymapper_0272699163_2014-07-04T01:33:18_17_red ): -1.14245605469 25.9199893257 0.245975613594 0.00167942047119 753.655456543
Median residual, sigma, fmask, fsat, background ( Skymapper_0273059663_2014-07-04T03:17:44_17_red ): 0.183166503906 25.2184513696 0.0547722578049 0.00152051448822 689.399291992
Median residual, sigma, fmask, fsat, background ( Skymapper_0273223527_2014-07-04T04:06:09_17_red ): 0.343994140625 25.5821779072 0.0426434278488 0.0015721321106 688.953125
Median residual, sigma, fmask, fsat, background ( Skymapper_0277581569_2014-07-04T00:41:06_17_red ): -5.4201965332 27.4097953971 0.743684649467 0.00218033790588 810.553649902
Median residual, sigma, fmask, fsat, background ( Skymapper_0277843753_2014-07-04T02:01:26_17_red ): -0.461486816406 25.4716378729 0.16440141201 0.00199782848358 719.967468262
